Name,Cost,Attack,Health,Effect
Albert,2,1,2,0
Alphonse,2,1,3,0
André,10,10,10,0
Bernard,2,2,3,0
Charles-Elie,1,1,1,0
Christian,3,2,5,0
Elisabeth,5,5,4,0
François,7,9,9,0
François-Joseph,0,1,1,0
Georges,4,5,5,0
Gilles,4,3,4,0
Gillian,6,5,7,0
Guillaume,0,1,1,0
Henri,3,7,1,0
Jean-Jacques,5,8,2,0
Joël,1,25,65,0
Joseph,0,5,25,0
Keno,5,3,7,0
Laurent,9,8,10,0
Léopold,1,2,3,0
Louis,7,6,8,0
Margrethe,3,3,2,0
Nikita,9,10,10,0
Marc,1,2,1,0
Marcel,3,2,5,0
Olivier,1,2,5,0
Søren,5,5,7,0
Thierry,3,2,4,0
Winston,4,5,4,0
Yves,3,5,5,0
